from,to ,weight,relationship,time,
ripke,tbz,,1,99,Tim Bendzko
ripke,josselin,,2,1,Josselin
ripke,josselin,,2,2,
ripke,josselin,,2,3,
ripke,josselin,,2,4,
ripke,ob,2,1,3,Odell Beckham Jr.
ripke,mr,4,12,1,Marteria
ripke,mr,4,12,2,
ripke,mr,4,12,3,
ripke,mr,4,12,4,
ripke,cr,2,1,3,CR7
ripke,db,2/3,1,3,Daniel Brühl
ripke,mn,,1,,"Manuel Neuer, könnte eventuell raus weil ich nicht weiß, ob die noch Kontakt hatten nach Rio und den Shoots für den FCB"
ripke,emb,2,1,1,Elyas Mbarek
ripke,emb,4,2,4,
ripke,jkp,,,1,Klopp
ripke,hpb,1,1,1,"H.P. Baxxter, kann raus weil nur ein Shoot mit Scooter"
ripke,ms,1,1,1,"Michael Simon, kann raus weil nur ein Shoot mit Scooter"
ripke,ca,4,12,1,Campino
ripke,ca,4,12,2,
ripke,ca,4,12,3,
ripke,ca,4,12,4,
ripke,dn,3,1?,3,Dirk Nowitzki
ripke,kd,2,1,1,Kevin Durant
ripke,nr,4,12,1,Nico Rosberg
ripke,f1,4,1,1,Formel 1 AMG
ripke,f1,4,1,2,
ripke,f1,4,1,3,
ripke,f1,4,1,4,
ripke,lp,,,,Poldi
ripke,ea,2,1,99,Elias Ambuehl
ripke,sk,2,1,99,Sami Khedira
ripke,jb,3/4,,1,Jerome Boateng
ripke,jb,,,3,
ripke,jd,4,12?,3,Jan Delay
ripke,jd,4,12?,4,
ripke,gu,2,1,99,"Gustavo, kann theoretisch raus weil er nicht im Erhebungszeitraum liegt"
ripke,mgo,2,1,3,Mario Götze
ripke,rs,,,,Robin Schulz
ripke,jp,,,,
ripke,ig,,,,Ilkay Gündogan
ripke,jok,,,,Joko
ripke,yc,,,,Yasha Conen
ripke,sl,,,,Stephan Luca
ripke,co,,,,Cro
ripke,lml,2,1,1,Lena Meyer-Landruth
,,2,1,2,
,,2,1,3,
,,2,1,4,
ripke,lh,3,1,2,Lewis Hamilton
ripke,lh,3,1,3,
ripke,lh,3,1,4,
ripke,bas,,,,Bastian Schweinsteiger
ripke,si,,,,Sido
ripke,bst,,,,Bonnie Strange
ripke,hub,,,,Hugo Boss
ripke,des,,,,Desire
ripke,sp,,,,Swantje Paulina
ripke,rb,,,,Red Bull
ripke,pr,,,,Pamela Reif
ripke,ney,,,,Neymar
ripke,lm,,2,4,Lothar Matthäus
ripke,ay,,1,4?,About You
ripke,wap,4,1,4,WeArePari
ripke,dhl,,1,,DHL
ripke,uni,,,,Universal Pictures
ripke,dfb,,1,,DFB
ripke,tr,4,2,1,Teresa Ripke
ripke ,tr,4,2,2,
ripke,tr,4,2,3,
ripke,tr,4,2,4,
ripke,f1,,1,,Mercedes AMG F1 Team
ripke,ols,,,,Olli Schulz
ripke,dazn,2/3?,1,3?,DAZN
tesch,ng,1,2,99,
tesch,is,1,1,99,
tesch,ef,1,2,99,
tesch,dp,1,1,99,
tesch,zb,1,1,4,
tesch,vit,1,1,4,
